Kalem,2024/12,2024/9,2024/6,2024/3,2023/12,2023/9,2023/6,2023/3,2022/12,2022/9,2022/6,2022/3,2021/12,2021/9,2021/6,2021/3,2020/12,2020/9,2020/6,2020/3,2019/12,2019/9,2019/6,2019/3,2018/12,2018/9,2018/6,2018/3,2017/12,2017/9,2017/6,2017/3,2016/12,2016/9,2016/6
    Diðer Borçlar,1115000000,1395000000,1346000000,1186000000,749000000,3447000000,686000000,482000000,441000000,2775000000,2894000000,2816000000,730000000,610000000,735000000,223000000,162000000,192000000,163000000,165000000,223000000,177000000,192000000,196000000,188000000,396000000,546000000,333000000,314000000,53000000,49000000,50000000,39000000,35000000,32000000
    Müþteri Sözleþmelerinden Doðan Yükümlülükler,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Devlet Teþvik ve Yardýmlarý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Özkaynak Yöntemiyle Deðerlenen Yatýrýmlardan Yükümlülükler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Türev Araçlar,,,,0,,,,0,,,,,,,,,,,,,,,,,,,,,,0,,,,,
    Devlet Teþvik ve Yardýmlarý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Ertelenmiþ Gelirler,4629000000,4978000000,5266000000,5453000000,3185000000,2842000000,2775000000,2010000000,2022000000,1718000000,1624000000,1301000000,1224000000,843000000,852000000,1010000000,799000000,868000000,776000000,755000000,713000000,698000000,742000000,308000000,342000000,317000000,259000000,240000000,159000000,156000000,161000000,14000000,20000000,24000000,31000000
    Uzun vadeli Karþýlýklar,12503000000,11637000000,11003000000,9551000000,9250000000,8420000000,8189000000,6495000000,6258000000,3302000000,3055000000,2240000000,2125000000,1597000000,1586000000,1470000000,1343000000,1293000000,1251000000,1149000000,1069000000,1014000000,1083000000,696000000,685000000,546000000,536000000,483000000,482000000,422000000,,390000000,397000000,380000000,381000000
    Cari Dönem Vergisiyle Ýlgili Borçlar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Ertelenmiþ Vergi Yükümlülüðü,2285000000,1767000000,1675000000,2212000000,1477000000,79098000000,63800000000,43858000000,41584000000,43877000000,34039000000,26550000000,22889000000,12581000000,10889000000,10400000000,8214000000,9275000000,8664000000,7672000000,7678000000,7042000000,6095000000,6441000000,5989000000,7047000000,4546000000,3514000000,3628000000,3350000000,2813000000,3092000000,3361000000,2377000000,2203000000
